varname,printname,mpi-mainz-uvviz,long-name,
NC10H22,NC10H22,,,
RN31O2,RN31O2,,,
NC11H24,NC11H24,,,
RN34O2,RN34O2,,,
NC12H26,NC12H26,,,
RN37O2,RN37O2,,,
IC4H10,IC4H10,,,
RI13O2,RI13O2,,,
IC5H12,IC5H12,,,
RI16O2,RI16O2,,,
NEOP,NEOP,,,
M2PE,M2PE,,,
M3PE,M3PE,,,
M22C4,M22C4,,,
M23C4,M23C4,,,
M2HEX,M2HEX,,,
M3HEX,M3HEX,,,
CHEX,CHEX,,,
C2H4,C2H4,,,
HOCH2CH2O2,HOCH2CH2O2,,,
C3H6,C3H6,,,
RN9O2,RN9O2,,,
BUT1ENE,BUT1ENE,,,
RN12O2,RN12O2,,,
PENT1ENE,PENT1ENE,,,
RN15O2,RN15O2,,,
HEX1ENE,HEX1ENE,,,
RN18O2,RN18O2,,,
CBUT2ENE,CBUT2ENE,,,
TBUT2ENE,TBUT2ENE,,,
CPENT2ENE,CPENT2ENE,,,
TPENT2ENE,TPENT2ENE,,,
CHEX2ENE,CHEX2ENE,,,
THEX2ENE,THEX2ENE,,,
MEPROPENE,MEPROPENE,,,
RI12O2,RI12O2,,,
ME2BUT1ENE,ME2BUT1ENE,,,
ME3BUT1ENE,ME3BUT1ENE,,,
RI15O2,RI15O2,,,
ME2BUT2ENE,ME2BUT2ENE,,,
NRN6O2,NRN6O2,,,
NRN9O2,NRN9O2,,,
NRN12O2,NRN12O2,,,
NRN15O2,NRN15O2,,,
NRN18O2,NRN18O2,,,
NRI12O2,NRI12O2,,,
NRI15O2,NRI15O2,,,
CH3CHO,CH3CHO,CH3CHO,Acetaldehyde,75-07-0
C2H5CHO,C2H5CHO,C2H5CHO,Propionaldehyde,123-38-6
CH3CO2H,CH3CO2H,CH3C(O)OH,Acetic Acid,64-19-7
CH3COCH3,CH3COCH3,CH3C(O)CH3,Acetone,67-64-1
C4H6,C4H6,CH2=CHCH=CH2,"1,3-butadiene",106-99-0
RN11O2,RN11O2,,,
C5H8,C5H8,CH2=C(CH3)CH=CH2,Isoprene,78-79-5
NRN11O2,NRN11O2,,,
NRN14O2,NRN14O2,,,
RN21O2,RN21O2,,,
TM123B,TM123B,,,
TM124B,TM124B,,,
TM135B,TM135B,,,
OETHTOL,OETHTOL,,,
METHTOL,METHTOL,,,
PETHTOL,PETHTOL,,,
DIME35EB,DIME35EB,,,
RN27O2,RN27O2,,,
DIET35TOL,DIET35TOL,,,
RN30O2,RN30O2,,,
RE2O2,RE2O2,,,
C2H2,C2H2,,,
C3H7CHO,C3H7CHO,,,
IPRCHO,IPRCHO,,,
C4H9CHO,C4H9CHO,,,
CH3CO3,CH3CO3,,,
HCOOH,HCOOH,,,
RN8O2,RN8O2,,,
MEK,MEK,,,
MPRK,MPRK,,,
DIEK,DIEK,,,
MIPK,MIPK,,,
HEX2ONE,HEX2ONE,,,
HEX3ONE,HEX3ONE,,,
MIBK,MIBK,,,
MTBK,MTBK,,,
CYHEXONE,CYHEXONE,,,
RN17O2,RN17O2,,,
C2H5OH,C2H5OH,,,
NPROPOL,NPROPOL,,,
IPROPOL,IPROPOL,,,
NBUTOL,NBUTOL,,,
BUT2OL,BUT2OL,,,
IBUTOL,IBUTOL,,,
TBUTOL,TBUTOL,,,
PECOH,PECOH,,,
IPEAOH,IPEAOH,,,
ME3BUOL,ME3BUOL,,,
IPECOH,IPECOH,,,
IPEBOH,IPEBOH,,,
CYHEXOL,CYHEXOL,,,
MIBKAOH,MIBKAOH,,,
ETHGLY,ETHGLY,,,
PROPGLY,PROPGLY,,,
CH3OCHO,CH3OCHO,,,
DIETETHER,DIETETHER,,,
RE5O2,RE5O2,,,
MTBE,MTBE,,,
DIIPRETHER,DIIPRETHER,,,
ETBE,ETBE,,,
MO2EOL,MO2EOL,,,
EOX2EOL,EOX2EOL,,,
PR2OHMOX,PR2OHMOX,,,
BUOX2ETOH,BUOX2ETOH,,,
BOX2PROL,BOX2PROL,,,
METHACET,METHACET,,,
ETHACET,ETHACET,,,
NPROACET,NPROACET,,,
IPROACET,IPROACET,,,
NBUTACET,NBUTACET,,,
SBUTACET,SBUTACET,,,
TBUACET,TBUACET,,,
PROPACID,PROPACID,,,
DMM,DMM,,,
DMC,DMC,,,
CH3Cl,CH3Cl,,,
CH2Cl2,CH2Cl2,,,
CHCl3,CHCl3,,,
CH3CCl3,CH3CCl3,,,
TCE,TCE,,,
TRIClETH,TRIClETH,,,
CDIClETH,CDIClETH,,,
TDIClETH,TDIClETH,,,
CH3NO3,CH3NO3,,,
C2H5NO3,C2H5NO3,,,
RN10NO3,RN10NO3,,,
IC3H7NO3,IC3H7NO3,,,
RN16NO3,RN16NO3,,,
RN19NO3,RN19NO3,,,
RN22NO3,RN22NO3,,,
RN25NO3,RN25NO3,,,
RN28NO3,RN28NO3,,,
RN31NO3,RN31NO3,,,
RN34NO3,RN34NO3,,,
RN37NO3,RN37NO3,,,
