is_integrated,varname,printname,mpi-mainz-uvviz,long-name,CASRN
1,IC3H7NO3,iC_3H_7NO_3,"i-C3H7ONO2,(CH3)2CHONO2",Isopropyl Nitrate,1712-64-7
1,RN13NO3,RN_{13}NO_3,,,
1,RN16NO3,RN_{16}NO_3,,,
1,RN19NO3,RN_{19}NO_3,,,
1,RN22NO3,RN_{22}NO_3,,,
1,RN25NO3,RN_{25}NO_3,,,
1,RN28NO3,RN_{28}NO_3,,,
1,RN31NO3,RN_{31}NO_3,,,
1,RN34NO3,RN_{34}NO_3,,,
1,RN37NO3,RN_{37}NO_3,,,
1,RI13NO3,RI_{13}NO_3,,,
1,RI16NO3,RI_{16}NO_3,,,
1,HOC2H4NO3,HOC_2H_4NO_3,(ONO2)CH2CH2OH,2-(nitrooxy)ethanol,16051-48-2
1,RN9NO3,RN_9NO_3,,,
1,RN12NO3,RN_{12}NO_3,,,
1,RN15NO3,RN_{15}NO_3,,,
1,RN18NO3,RN_{18}NO_3,,,
1,RN21NO3,RN_{21}NO_3,,,
1,RN24NO3,RN_{24}NO_3,,,
1,RN27NO3,RN_{27}NO_3,,,
1,RN30NO3,RN_{30}NO_3,,,
1,RI12NO3,RI_{12}NO_3,,,
1,RI15NO3,RI_{15}NO_3,,,
1,RI24NO3,RI_{24}NO_3,,,
1,RE2NO3,RE_2NO_3,,,
1,RE5NO3,RE_5NO_3,,,
1,RT28NO3,RT_{28}NO_3,,,
1,EtOOH,C_2H_5OOH,,Ethylene Glycol,107-21-1
1,RN10OOH,RN_{10}OOH,,,
1,IC3H7OOH,iC_3H_7OOH,,propylene glycol ???,57-55-6
1,RN13OOH,RN_{13}OOH,,,
1,RN16OOH,RN_{16}OOH,,,
1,RN19OOH,RN_{19}OOH,,,
1,RN22OOH,RN_{22}OOH,,,
1,RN25OOH,RN_{25}OOH,,,
1,RN28OOH,RN_{28}OOH,,,
1,RN31OOH,RN_{31}OOH,,,
1,RN34OOH,RN_{34}OOH,,,
1,RN37OOH,RN_{37}OOH,,,
1,RI13OOH,RI_{13}OOH,,,
1,RI16OOH,RI_{16}OOH,,,
1,MeCO3H,CH_3CO_3H,CH3C(O)OOH,Peracetic Acid,79-21-0
1,RN8OOH,RN_8OOH,,,
1,RN11OOH,RN_{11}OOH,,,
1,RN14OOH,RN_{14}OOH,,,
1,RN17OOH,RN_{17}OOH,,,
1,HOC2H4OOH,HOC_2H_4OOH,,??? Oxydimethanol,4407-89-0
1,RN9OOH,RN_9OOH,,,
1,RN12OOH,RN_{12}OOH,,,
1,RN15OOH,RN_{15}OOH,,,
1,RN18OOH,RN_{18}OOH,,,
1,RN21OOH,RN_{21}OOH,,,
1,RN24OOH,RN_{24}OOH,,,
1,RN27OOH,RN_{27}OOH,,,
1,RN30OOH,RN_{30}OOH,,,
1,RI12OOH,RI_{12}OOH,,,
1,RI15OOH,RI_{15}OOH,,,
1,RI24OOH,RI_{24}OOH,,,
1,RE2OOH,RE_2OOH,,,
1,RE5OOH,RE_5OOH,,,
1,RT28OOH,RT_{28}OOH,,,
1,NRN6OOH,NRN_6OOH,,,
1,NRN9OOH,NRN_9OOH,,,
1,NRN12OOH,NRN_{12}OOH,,,
1,NRN15OOH,NRN_{15}OOH,,,
1,NRN18OOH,NRN_{18}OOH,,,
1,NRI12OOH,NRI_{12}OOH,,,
1,NRI15OOH,NRI_{15}OOH,,,
1,NRN11OOH,NRN_{11}OOH,,,
1,NRN14OOH,NRN_{14}OOH,,,
1,NRT28OOH,NRT_{28}OOH,,,
1,PAN,CH_3(O)O_2NO_2,CH3C(O)O2NO2,peroxyacetyl nitrate,2278-22-0
1,APINENE,α-Pinene,alpha-pinene(C10H16),α-Pinene,80-56-8
1,BPINENE,β-Pinene,beta-pinene(C10H16),β-Pinene,127-91-3
1,NA,NA,,,
1,SO2,SO2,SO2,Sulfur Dioxide,7446-09-05
1,SO3,SO3,SO3,Sulfur Trioxide,7446-11-09
1,HSO3,HSO3,,,
1,SA,SA,,,
1,CH3OCH3,CH3OCH3,CH3OCH3,Dimethyl Ether,0115-10-06
1,C2H5O2,C2H5O2,C2H5O2,ethylperoxy radical,3170-61-4
1,HOCH2CH2O2,HOCH2CH2O2,,"??? Ethyldioxy, 1-hydroxy-",17635-92-6
1,CH3CHO,CH3CHO,CH3CHO,Acetaldehyde,75-07-0
1,C2H5CHO,C2H5CHO,C2H5CHO,Propionaldehyde,123-38-6
1,CH3CO2H,CH3CO2H,CH3C(O)OH,Acetic Acid,64-19-7
1,CH3COCH3,CH3COCH3,CH3C(O)CH3,Acetone,67-64-1
1,CH3CO3,CH3CO3,CH3C(O)OC(O)CH3,Acetyl acetate,108-24-7
1,HCOOH,HCOOH,HC(O)OH,Formic Acid,64-18-6
1,C2H5OH,C2H5OH,C2H5OH,Ethanol,64-17-5
1,CH3NO3,CH3NO3,CH3ONO2,methyl nitrate,598-58-3
1,C2H5NO3,C2H5NO3,C2H5ONO2,Ethyl Nitrate,625-58-1
1,C2H5OOH,C2H5OOH,,Ethylene Glycol,107-21-1
1,CH3CO3H,CH3CO3H,CH3C(O)OOH,Peracetic Acid,79-21-0
1,CN,CN,,Cyano Radical,
1,NCO,NCO,,Isocyanato Radical,22400-26-6
1,HCN,HCN,HCN,Hydrocanic Acid,74-90-8
1,MeCN,CH_3CN,CH3CN,Acetonitrile,1975-05-08
1,Ar+,Ar^+,,,
1,O2+,O_2^+,,,
1,N2+,N_2^+,,,
1,CO2+,CO_2^+,,,
1,H3O+,H_3O^+,,,
1,CO+,CO^+,,,
1,N+,N^+,,,
1,NO+,NO^+,,,
1,O+,O^+,,,
1,H3O+OH,H_3O^+OH,,,
1,CO2+CO2,CO_2^+CO_2,,,
1,O2+O2,O_2^+O_2,,,
1,H3O+H2O,H_3O^+(H_2O),,,
1,H3O+H2OH2O,H_3O^+(H_2O)_2,,,
1,H3O+3H2O,H_3O^+(H_2O)_3,,,
1,H3O+4H2O,H_3O^+(H_2O)_4,,,
1,O2+CO2,O_2^+(CO_2),,,
1,O2+CO2CO2,O_2^+(CO_2)_2,,,
1,O2+H2O,O_2^+(H_2O),,,
1,O2+H2OH2O,O_2^+(H_2O)_2,,,
1,e-,e^-,,,
1,O-,O^-,,,
1,O2-,O_2^-,,,
1,O3-,O_3^-,,,
1,O4-,O_4^-,,,
1,OH-,OH^-,,,
1,O2-H2O,O_2^-(H2O),,,
1,CO3-,CO_3^-,,,
1,CO4-,CO_4^-,,,
1,CO3-H2O,CO_3^-(H2O),,,
1,CO3-H2OH2O,CO_3^-(H2O)_2,,,
1,NO2-,NO_2^-,,,
1,NO3-,NO_3^-,,,
1,NO2-H2O,NO_2^-(H2O),,,
1,NO2-H2OH2O,NO_2^-(H2O)_2,,,
1,NO3-H2O,NO_3^-(H2O),,,
1,NO3-H2OH2O,NO_3^-(H2O)_2,,,
1,Cl-,Cl^-,,,
1,IO,IO,IO,iodine monoxide,14696-98-1
1,I2,I_2,I2,Iodine Molecule,7553-56-2
1,I,I,,Iodine Atom,
1,HOI,HOI,HOI,Hypoiodous Acid,14332-21-9
