idx,Source,Reactants,,Products,,,,Product Stoich,,,,a1,a2,a3,a4,a5,contains_OH,contains_HONO2,contains_CO,all_reactants_HO2
R160,NB,CF3,O,COF2,F,,,1,1,,,3.10E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R161,NB,CF2,O,COF ,F,,,1,1,,,1.40E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R162,NB,CF2,O,CO,F,F,,1,1,1,,4.00E-12,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R163,NB,COF,O,CO2,F,,,1,1,,,9.30E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R165,NB,CF3OO,O,COF2,F,O2,,1,1,1,,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R168,NB,F,FO2,F,F,O2,,1,1,1,,5.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R169,NB,O,FO2,FO,O2,,,1,1,,,5.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R170,NB,O,FO,F,O2,,,1,1,,,5.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R172,NB,CF3,O2,CF3O,O,,,1,1,,,8.81E-12,0,0,0,-8852,FALSE,FALSE,FALSE,FALSE
R173,NB,CF3,H,CF2,HF,,,1,1,,,9.10E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R174,NB,F,H2O,HF,OH,,,1,1,,,1.40E-11,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R175,NB,F,H2,HF,H,,,1,1,,,6.58E-11,0.579,0,0,-312.4,FALSE,FALSE,FALSE,FALSE
R176,NB,F,HO2,HF,O2,,,1,1,,,8.30E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R177,NB,F,CH4,HF,CH3,,,1,1,,,2.60E-10,0,0,0,-379.8,FALSE,FALSE,FALSE,FALSE
R178,NB,F,HONO2,HF,NO3,,,1,1,,,6.91E-12,0,0,0,367.1,FALSE,FALSE,FALSE,FALSE
R179,NB,F,NH3,HF,NH2,,,1,1,,,2.90E-10,0,0,0,-685.3,FALSE,FALSE,FALSE,FALSE
R180,SA,COF2,H2O,CO2,HF,HF,,1,1,1,,2.00E-06,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R181,NB,CCl4,O(1D),CCl3,ClO,,,1,1,,,3.30E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R182,HC,CH4,e,CF3,F-,,,1,1,,,e_k_CF3_F_M,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R183,WI,CF4,e,CF3,F,e,,1,1,1,,0.5 e_k_CF3,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R184,WI,CF4,e,CF2,F,e,,1,2,1,,0.5 e_k_CF3,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R185,BT,CCl4,e,CCl3,Cl-,,,1,1,,,e_k_CCl3_Cl_M,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R186,BT,CCl4,e,CCl3,Cl,e,,1,1,1,,4.50E-08,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R187,BT,CCl4,e,CCl3+,Cl,e,,1,1,2,,e_k_CCl3_P,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R188,RP,SF6,e,SF5,F-,,,1,1,,,e_k_SF5_F_M,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R189,RP,SF6,e,SF5,F,e,,1,1,,,e_k_SF5,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R190,RP,SF5,O2,SO2F2,F,,,1,3,,,1.00E-16,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R191,BS,SF5,O,SO4,F,,,1,1,,,2.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R192,BS,SF5,OH,SOF4,HF,,,1,1,,,1.60E-11,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R193,BS,SOF4,H2O,SO2F2,HF,,,1,2,,,1.00E-21,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R194,XX,SF6,O2-,SF5,F-,O2,,1,1,1,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R195,XX,CF4,O2-,CF3,F-,O2,,1,1,1,,1.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R196,XX,CCl4,O2-,CCl3,Cl-,O2,,1,1,1,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R197,XX,SF6,O4-,SF5,F-,O2,,1,1,2,,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R198,XX,CF4,O4-,CF3,F-,O2,,1,1,2,,1.00E-13,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R199,XX,CCl4,O4-,CCl3,Cl-,O2,,1,1,2,,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R200,XX,SF6,CO4-,SF5,F-,CO2,O2,1,1,1,1,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R201,XX,CF4,CO4-,CF3,F-,CO2,O2,1,1,1,1,1.00E-13,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R202,XX,CCl4,CO4-,CCl3,Cl-,CO2,O2,1,1,1,1,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R203,XX,SF6,O-,SF5,F-,O,,1,1,1,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R204,XX,CF4,O-,CF3,F-,O,,1,1,1,,1.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R205,XX,CCl4,O-,CCl3,Cl-,O,,1,1,1,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R206,XX,SF6,H-,SF5,F-,H,,1,1,1,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R207,XX,CF4,H-,CF3,F-,H,,1,1,1,,1.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R208,XX,CCl4,H-,CCl3,Cl-,H,,1,1,1,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R209,II,O2,e,O2+,e,,,1,2,,,O2_Ion,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R210,II,O2,e,O,e,,,2,1,,,O2_Dis,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R211,II,O2,e,O,O+,e,,1,1,2,,O2_DisIon,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R212,ZN,O4+,N2,O2+,O2,N2,,1,1,1,,1.11E-06,-5.2,0,0,-5007,FALSE,FALSE,FALSE,FALSE
R213,ZN,O4+,O2,O2+,O2,,,1,2,,,1.11E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R214,ZN,O4+,O,O2+,O3,,,1,1,,,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R215,ZN,O4+,N2,N2O2+,O2,,,1,1,,,4.61E-12,2.5,0,0,-2650,FALSE,FALSE,FALSE,FALSE
R216,ZN,O4+,H2O,WO2+,O2,,,1,1,,,2.20E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R217,ZN,O4+,e,O,O2,,,2,1,,,2.00E-06,1,0,0,0,FALSE,FALSE,FALSE,FALSE
R218,MP,O2+,N,NO+,O,,,1,1,,,1.80E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R219,ZN,O2+,NO,NO+,O2,,,1,1,,,4.50E-19,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R220,ZN,O2+,N2,NO+,NO,,,1,1,,,1.00E-16,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R221,H4,O2+,N2,N2+,O2,,,1,1,,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R222,ZN,O2+,NO2,NO2+,O2,,,1,1,,,6.60E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R225,X?,O2+,H2O,H2O+,O2,,,1,1,,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R228,MP,O+,CO2,O2+,CO,,,1,1,,,1.20E-09,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R229,MP,O+,H2O,H2O+,O,,,1,1,,,2.30E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R230,MP,O+,H2,OH+,H,,,1,1,,,2.00E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R231,MP,O+,NO,NO+,O,,,1,1,,,1.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R232,MP,O+,NO2,NO2+,O,,,1,1,,,1.60E-19,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R233,MP,O+,N2O,N2O+,O,,,1,1,,,2.20E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R234,MP,O+,N2O,NO+,NO,,,1,1,,,2.30E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R235,H4,O+,N2O,O2+,N2,,,1,1,,,2.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R236,ZN,CO+,NO,NO+,CO,,,1,1,,,3.30E-10,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R237,ZN,CO+,O2,O2+,CO,,,1,1,,,2.00E-10,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R238,ZN,CO+,CO2,CO2+,CO,,,1,1,,,1.10E-09,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R239,ZN,CO+,H2O,H2O+,CO,,,1,1,,,1.10E-19,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R240,ZN,CO2+,NO,NO+,CO2,,,1,1,,,1.20E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R241,ZN,CO2+,O2,O2+,CO2,,,1,1,,,5.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
